fold,before_phase_1,before_phase_2,before_phase_3,after_phase_1,after_phase_2,after_phase_3
1,68,44,20,68,68,68
2,69,43,21,69,69,69
3,69,43,21,69,69,69
4,69,43,21,69,69,69
5,69,43,21,69,69,69
6,68,44,20,68,68,68
7,69,43,21,69,69,69
8,69,43,21,69,69,69
9,69,43,21,69,69,69
10,69,43,21,69,69,69
11,68,44,20,68,68,68
12,69,43,21,69,69,69
13,69,43,21,69,69,69
14,69,43,21,69,69,69
15,69,43,21,69,69,69
16,68,44,20,68,68,68
17,69,43,21,69,69,69
18,69,43,21,69,69,69
19,69,43,21,69,69,69
20,69,43,21,69,69,69
21,68,44,20,68,68,68
22,69,43,21,69,69,69
23,69,43,21,69,69,69
24,69,43,21,69,69,69
25,69,43,21,69,69,69
26,68,44,20,68,68,68
27,69,43,21,69,69,69
28,69,43,21,69,69,69
29,69,43,21,69,69,69
30,69,43,21,69,69,69
31,68,44,20,68,68,68
32,69,43,21,69,69,69
33,69,43,21,69,69,69
34,69,43,21,69,69,69
35,69,43,21,69,69,69
36,68,44,20,68,68,68
37,69,43,21,69,69,69
38,69,43,21,69,69,69
39,69,43,21,69,69,69
40,69,43,21,69,69,69
41,68,44,20,68,68,68
42,69,43,21,69,69,69
43,69,43,21,69,69,69
44,69,43,21,69,69,69
45,69,43,21,69,69,69
46,68,44,20,68,68,68
47,69,43,21,69,69,69
48,69,43,21,69,69,69
49,69,43,21,69,69,69
50,69,43,21,69,69,69
